title,in_office,last_name,first_name,middle_name,suffix,nickname,full_name,birthdate,gender,state,district,senate_class,party,official_url,wikipedia_id,lis_id,govtrack_id,thomas_id,bioguide_id,fec_ids
Sen,True,Brown,Sherrod,,,,Sherrod Brown,1952-11-09,M,OH,,1,Democrat,https://www.brown.senate.gov,Sherrod Brown,S307,400050,00136,B000944,"H2OH13033,S6OH00163"
Sen,True,Cantwell,Maria,,,,Maria Cantwell,1958-10-13,F,WA,,1,Democrat,https://www.cantwell.senate.gov,Maria Cantwell,S275,300018,00172,C000127,"S8WA00194,H2WA01054"
Sen,True,Cardin,Benjamin,L.,,,Benjamin L. Cardin,1943-10-05,M,MD,,1,Democrat,https://www.cardin.senate.gov,Ben Cardin,S308,400064,00174,C000141,"H6MD03177,S6MD03177"
Sen,True,Carper,Thomas,Richard,,,Thomas R. Carper,1947-01-23,M,DE,,1,Democrat,https://www.carper.senate.gov/public,Tom Carper,S277,300019,00179,C000174,S8DE00079
Sen,True,Casey,Robert,P.,Jr.,Bob,"Robert P. Casey, Jr.",1960-04-13,M,PA,,1,Democrat,https://www.casey.senate.gov,Bob Casey Jr.,S309,412246,01828,C001070,S6PA00217
Sen,True,Feinstein,Dianne,,,,Dianne Feinstein,1933-06-22,F,CA,,1,Democrat,https://www.feinstein.senate.gov,Dianne Feinstein,S221,300043,01332,F000062,S0CA00199
Sen,True,Klobuchar,Amy,Jean,,,Amy Klobuchar,1960-05-25,F,MN,,1,Democrat,https://www.klobuchar.senate.gov,Amy Klobuchar,S311,412242,01826,K000367,S6MN00267
Sen,True,Menendez,Robert,,,Bob,Robert Menendez,1954-01-01,M,NJ,,1,Democrat,https://www.menendez.senate.gov,Bob Menendez,S306,400272,00791,M000639,"H2NJ13075,S6NJ00289"
Sen,True,Sanders,Bernard,,,Bernie,Bernard Sanders,1941-09-08,M,VT,,1,Independent,https://www.sanders.senate.gov,Bernie Sanders,S313,400357,01010,S000033,"H8VT01016,S4VT00033"
Sen,True,Stabenow,Debbie,Ann,,,Debbie Stabenow,1950-04-29,F,MI,,1,Democrat,https://www.stabenow.senate.gov,Debbie Stabenow,S284,300093,01531,S000770,"S8MI00281,H6MI08163"
